Language,Consonants
Adyghe,"['b', 'ɕ', 'd', 'dz', 'dzʷ', 'dʒ', 'f', 'ɣ', 'ɡʷ', 'ħ', 'j', 'kʷ', 'kʼ', 'kʷʼ', 'l', 'ɬ', 'ɬʼ', 'm', 'n', 'p', 'pʼ', 'pʷʼ', 'q', 'qʷ', 'r', 'ʁ', 'ʁʷ', 's', 'ʃ', 'ʃʷ', 'ʃʷʼ', 'ʂ', 't', 'tʼ', 'tʷʼ', 'ts', 'tsʷ', 'tsʼ', 'tʃ', 'tʃʼ', 'tʂ', 'tʂʼ', 'w', 'x', 'χ', 'χʷ', 'z', 'ʑ', 'ʒ', 'ʒʷ', 'ʐ', 'ʔ', 'ʔʷ', 'k', 'v']"
Afrikaans,"['b', 'd', 'f', 'ɦ', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'r', 's', 'ʃ', 't', 'tʃ', 'χ', 'v', 'ʒ', 'ʔ', 'dʒ', 'ɡ', 'w', 'z', 'ˈ', 'ˌ']"
Albanian,
Amharic,
Arabic,
Egyptian_Arabic,"['ʔ', 'ʕ', 'b', 'd', 'dˤ', 'f', 'ɡ', 'h', 'ħ', 'j', 'k', 'l', 'm', 'n', 'q', 'ɾ', 's', 'sˤ', 'ʃ', 't', 'tˤ', 'w', 'x', 'ɣ', 'z', 'zˤ', 'p', 'v', 'ʒ']"
Hejazi_Arabic,"['ʔ', 'ʕ', 'b', 'd', 'dˤ', 'dʒ', 'ð', 'f', 'ɡ', 'h', 'ħ', 'j', 'k', 'l', 'ɫ', 'm', 'n', 'θ', 'r', 's', 'sˤ', 'ʃ', 't', 'tˤ', 'w', 'x', 'ɣ', 'z', 'zˤ', 'q', 'ðˤ', 'p', 'v']"
Lebanese_Arabic,"['b', 'd', 'dˤ', 'f', 'h', 'ħ', 'k', 'l', 'm', 'n', 'r', 's', 'sˤ', 'ʃ', 't', 'tˤ', 'x', 'ɣ', 'z', 'zˤ', 'ʒ', 'ʔ', 'ʕ', 'j', 'w', 'θ', 'ð', 'ðˤ', 'q', 'g', 'p', 'v']"
Tunisian_Arabic,"['b', 'd', 'ð', 'dz', 'ʒ', 'f', 'ɡ', 'h', 'ħ', 'j', 'k', 'l', 'm', 'n', 'θ', 'q', 'p', 'r', 's', 'ʃ', 't', 'tʃ', 'v', 'w', 'χ', 'ʁ', 'z', 'ʕ', 'ʔ', 'ɑ', 'æ', 'ɛː', 'ɪ', 'i', 'iː', 'ɔ', 'ʊ', 'uː']"
Armenian,"['b', 'd', 'dz', 'dʒ', 'f', 'g', 'h', 'j', 'kʰ', 'k', 'l', 'm', 'n', 'ŋ', 'pʰ', 'p', 'r', 'ɹ', 'ʁ', 's', 'ʃ', 'tʰ', 't', 'tsʰ', 'ts', 'tʃʰ', 'tʃ', 'v', 'χ', 'z', 'ʒ']"
Assamese,"['b', 'bʱ', 'd', 'ɡ', 'ɦ', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'ŋ', 'p', 'pʰ', 'ɹ', 'ɹʰ', 's', 't', 'tʰ', 'w', 'x', 'z', 'zʱ']"
